paper_id;year;title;abstract;key words;manual_class;gpt_class;trend_stage_numeric;classification_agreement
11;2019;The impact of digital technology and Industry 4.0 on the ripple effect and supply chain risk analytics;"The impact of digitalisation and Industry 4.0 on the ripple effect and disruption risk control analytics in the supply chain (SC) is studied. The research framework combines the results from two isolated areas, i.e. the impact of digitalisation on SC management (SCM) and the impact of SCM on the ripple effect control. To the best of our knowledge, this is the first study that connects business, information, engineering and analytics perspectives on digitalisation and SC risks. This paper does not pretend to be encyclopedic, but rather analyses recent literature and case-studies seeking to bring the discussion further with the help of a conceptual framework for researching the relationships between digitalisation and SC disruptions risks. In addition, it emerges with an SC risk analytics framework. It analyses perspectives and future transformations that can be expected in transition towards cyber-physical SCs. With these two frameworks, this study contributes to the literature by answering the questions of (1) what relations exist between big data analytics, Industry 4.0, additive manufacturing, advanced trace & tracking systems and SC disruption risks; (2) how digitalisation can contribute to enhancing ripple effect control; and (3) what digital technology-based extensions can trigger the developments towards SC risk analytics.";"Supply chain dynamics; Supply chain risk management; Supply chain resilience; Supply chain design; Supply chain engineering; Industry 4.0; Additive manufacturing; Blockchain; Big data analytics; Ripple effect";Mature;Mature;4;1
12;2017;A review of the roles of Digital Twin in CPS-based production systems;"The Digital Twin (DT) is one of the main concepts associated to the Industry 4.0 wave. This term is more and more used in industry and research initiatives; however, the scientific literature does not provide a unique definition of this concept. The paper aims at analyzing the definitions of the DT concept in scientific literature, retracing it from the initial conceptualization in the aerospace field, to the most recent interpretations in the manufacturing domain and more specifically in Industry 4.0 and smart manufacturing research. DT provides virtual representations of systems along their lifecycle. Optimizations and decisions making would then rely on the same data that are updated in real-time with the physical system, through synchronization enabled by sensors. The paper also proposes the definition of DT for Industry 4.0 manufacturing, elaborated by the European H2020 project MAYA, as a contribution to the research discussion about DT concept.";"Digital Twin; Cyber-Physical Systems; Industry 4.0; Production Systems";Emerging;Emerging;2;1
13;2020;Digital Twin: Enabling Technologies, Challenges and Open Research;"Digital Twin technology is an emerging concept that has become the centre of attention for
industry and, in more recent years, academia. The advancements in industry 4.0 concepts have facilitated
its growth, particularly in the manufacturing industry. The Digital Twin is defined extensively but is best
described as the effortless integration of data between a physical and virtual machine in either direction.
The challenges, applications, and enabling technologies for Artificial Intelligence, Internet of Things (IoT)
and Digital Twins are presented. A review of publications relating to Digital Twins is performed, producing
a categorical review of recent papers. The review has categorised them by research areas: manufacturing,
healthcare and smart cities, discussing a range of papers that reflect these areas and the current state of
research. The paper provides an assessment of the enabling technologies, challenges and open research for
Digital Twins.";"Digital twin; Cyber-physical systems; Industry 4.0; Internet of Things; Big data; Simulation; Smart manufacturing; Prognostics and health management";Emerging;Emerging;2;1
14;2020;Industry 4.0, digitization, and opportunities for sustainability;The fourth industrial revolution and the underlying digital transformation, known as Industry 4.0, is progressing exponentially. The digital revolution is reshaping the way individuals live and work fundamentally, and the public remains optimistic regarding the opportunities Industry 4.0 may offer for sustainability. The present study contributes to the sustainability literature by systematically identifying the sustainability functions of Industry 4.0. In doing so, the study first reviews the fundamental design principles and technology trends of Industry 4.0 and introduces the architectural design of Industry 4.0. The study further draws on the interpretive structural modelling technique to model the contextual relationships among the Industry 4.0 sustainability functions. Results indicate that sophisticated precedence relationships exist among various sustainability functions of Industry 4.0. ‘Matrice d’Impacts Croisés Multiplication Appliquée àun Classement’ (MICMAC) analysis reveals that economic sustainability functions such as production efficiency and business model innovation tend to be the more immediate outcome of Industry 4.0, which pays the way for development of more remote socioenvironmental sustainability functions of Industry 4.0 such as energy sustainability, harmful emission reduction, and social welfare improvement. This study can serve Industry 4.0 stakeholders – leaders in the public and private sectors, industrialists, and academicians – to better understand the opportunities that the digital revolution may offer for sustainability, and work together more closely to ensure that Industry 4.0 delivers the intended sustainability functions around the world as effectively, equally, and fairly as possible.;"Industry 4.0; Digitization; Sustainability; Digital transformation; Sustainability functions; Digital industrial revolution";Mature;Buzz;4;0
15;2018;Digital Twin and Big Data Towards Smart Manufacturing and Industry 4.0: 360 Degree Comparison;With the advances in new-generation information technologies, especially big data and digital twin, smart manufacturing is becoming the focus of global manufacturing transformation and upgrading. Intelligence comes from data. Integrated analysis for the manufacturing big data is beneficial to all aspects of manufacturing. Besides, the digital twin paves a way for the cyber-physical integration of manufacturing, which is an important bottleneck to achieve smart manufacturing. In this paper, the big data and digital twin in manufacturing are reviewed, including their concept as well as their applications in product design, production planning, manufacturing, and predictive maintenance. On this basis, the similarities and differences between big data and digital twin are compared from the general and data perspectives. Since the big data and digital twin can be complementary, how they can be integrated to promote smart manufacturing are discussed.;"Big data; digital twin; smart manufacturing; comprehensive comparison; convergence; Industry 4.0";Emerging;Emerging;2;1
16;2017;Digital Twin Shop-Floor: A New Shop-Floor Paradigm Towards Smart Manufacturing;With the developments and applications of the new information technologies, such as cloud computing, Internet of Things, big data, and artificial intelligence, a smart manufacturing era is coming. At the same time, various national manufacturing development strategies have been put forward, such as Industry 4.0, Industrial Internet, manufacturing based on Cyber-Physical System, and Made in China 2025. However, one of specific challenges to achieve smart manufacturing with these strategies is how to converge the manufacturing physical world and the virtual world, so as to realize a series of smart operations in the manufacturing process, including smart interconnection, smart interaction, smart control and management, etc. In this context, as a basic unit of manufacturing, shop-floor is required to reach the interaction and convergence between physical and virtual spaces, which is not only the imperative demand of smart manufacturing, but also the evolving trend of itself. Accordingly, a novel concept of digital twin shopfloor (DTS) based on digital twin is explored and its four key components are discussed, including physical shop-floor, virtual shop-floor, shop-floor service system, and shop-floor digital twin data. What is more, the operation mechanisms and implementing methods for DTS are studied and key technologies as well as challenges ahead are investigated, respectively.;"Digital twin; smart manufacturing; shop-floor paradigm; cyber-physical system; real-time monitoring; production optimization";Emerging;Emerging;2;1
17;2020;Digital Twin-driven smart manufacturing: Connotation, reference model, applications and research issues;This paper reviews the recent development of Digital Twin technologies in manufacturing systems and processes, to analyze the connotation, application scenarios, and research issues of Digital Twin-driven smart manufacturing in the context of Industry 4.0. To understand Digital Twin and its future potential in manufacturing, we summarized the definition and state-of-the-art development outcomes of Digital Twin. Existing technologies for developing a Digital Twin for smart manufacturing are reviewed under a Digital Twin reference model to systematize the development methodology for Digital Twin. Representative applications are reviewed with a focus on the alignment with the proposed reference model. Outstanding research issues of developing Digital Twins for smart manufacturing are identified at the end of the paper.;"Big Data; Cyber-physical System; Digital Twin; Industry 4.0; Smart manufacturing; Standard; Industrial Communication";Emerging;Mature;2;0
18;2016;Towards smart factory for industry 4.0: a self-organized multi-agent system with big data based feedback and coordination;The proliferation of cyber-physical systems introduces the fourth stage of industrialization, commonly known as Industry 4.0. The vertical integration of various components inside a factory to implement a flexible and reconfigurable manufacturing system, i.e., smart factory, is one of the key features of Industry 4.0. In this paper, we present a smart factory framework that incorporates industrial network, cloud, and supervisory control terminals with smart shop-floor objects such as machines, conveyers, and products. Then, we provide a classification of the smart objects into various types of agents and define a coordinator in the cloud. The autonomous decision and distributed cooperation between agents lead to high flexibility. Moreover, this kind of self-organized system leverages the feedback and coordination by the central coordinator in order to achieve high efficiency. Thus, the smart factory is characterized by a self-organized multi-agent system assisted with big data based feedback and coordination. Based on this model, we propose an intelligent negotiation mechanism for agents to cooperate with each other. Furthermore, the study illustrates that complementary strategies can be designed to prevent deadlocks by improving the agents’ decision making and the coordinator's behavior. The simulation results assess the effectiveness of the proposed negotiation mechanism and deadlock prevention strategies.;"Industry 4.0; Smart factory; Cyber-physical system; Multi-agent system; Deadlock prevention; Big data; Cloud computing; Distributed cooperation; Negotiation; Autonomous decision-making; Embedded systems";Emerging;Emerging;2;1
19;2022;Industry 5.0: A survey on enabling technologies and potential applications;Industry 5.0 is regarded as the next industrial evolution, its objective is to leverage the creativity of human experts in collaboration with efficient, intelligent and accurate machines, in order to obtain resource-efficient and user-preferred manufacturing solutions compared to Industry 4.0. Numerous promising technologies and applications are expected to assist Industry 5.0 in order to increase production and deliver customized products in a spontaneous manner. To provide a very first discussion of Industry 5.0, in this paper, we aim to provide a survey-based tutorial on potential applications and supporting technologies of Industry 5.0. We first introduce several new concepts and definitions of Industry 5.0 from the perspective of different industry practitioners and researchers. We then elaborately discuss the potential applications of Industry 5.0, such as intelligent healthcare, cloud manufacturing, supply chain management and manufacturing production. Subsequently, we discuss about some supporting technologies for Industry 5.0, such as edge computing, digital twins, collaborative robots, Internet of every things, blockchain, and 6G and beyond networks. Finally, we highlight several research challenges and open issues that should be further developed to realize Industry 5.0.;"Industry 5.0; Internet of Things; 6G; Edge computing; Enabling technologies; Pervasive AI";Buzz;Buzz;3;1
20;2016;Smart Manufacturing: Past Research, Present Findings, and Future Directions;Today, the manufacturing industry is aiming to improve competitiveness through the convergence with cutting-edge ICT technologies in order to secure a new growth engine. Smart Manufacturing, which is the fourth revolution in the manufacturing industry and is also considered as a new paradigm, is the collection of cutting-edge technologies that support effective and accurate engineering decision-making in real time through the introduction of various ICT technologies and the convergence with the existing manufacturing technologies. This paper surveyed and analyzed various articles related to Smart Manufacturing, identified the past and present levels, and predicted the future. For these purposes, 1) the major key technologies related to Smart Manufacturing were identified through the analysis of the policies and technology roadmaps of Germany, the U.S., and Korea that have government-driven leading movements for Smart Manufacturing, 2) the related articles on the overall Smart Manufacturing concept, the key system structure, or each key technology were investigated, and, finally, 3) the Smart Manufacturing-related trends were identified and the future was predicted by conducting various analyses on the application areas and technology development levels that have been addressed in each article.;"Big Data; Cyber-Physical System; Industry 4.0; Internet of Things; Smart Factory; Smart Manufacturing";Mature;Mature;4;1
21;2017;Smart manufacturing;Manufacturing has evolved and become more automated, computerised and complex. In this paper, the origin, current status and the future developments in manufacturing are discussed. Smart manufacturing is an emerging form of production integrating manufacturing assets of today and tomorrow with sensors, computing platforms, communication technology, control, simulation, data intensive modelling and predictive engineering. It utilises the concepts of cyber-physical systems spearheaded by the internet of things, cloud computing, service-oriented computing, artificial intelligence and data science. Once implemented, these concepts and technologies would make smart manufacturing the hallmark of the next industrial revolution. The essence of smart manufacturing is captured in six pillars, manufacturing technology and processes, materials, data, predictive engineering, sustainability and resource sharing and networking. Material handling and supply chains have been an integral part of manufacturing. The anticipated developments in material handling and transportation and their integration with manufacturing driven by sustainability, shared services and service quality and are outlined. The future trends in smart manufacturing are captured in ten conjectures ranging from manufacturing digitisation and material-product-process phenomenon to enterprise dichotomy and standardisation.;"Smart manufacturing; Advanced manufacturing; Cyber-physical systems; Data analytics; Manufacturing informatics; Process systems engineering; Automation; Control systems";Emerging;Emerging;2;1
22;2020;A digital supply chain twin for managing the disruption risks and resilience in the era of Industry 4.0;We theorize a notion of a digital supply chain (SC) twin – a computerized model that represents network states for any given moment in real time. We explore the conditions surrounding the design and implementation of the digital twins when managing disruption risks in SCs. The combination of model-based and data-driven approaches allows uncovering the interrelations of risk data, disruption modeling, and performance assessment. The SC shocks and adaptations amid the COVID-19 pandemic along with post-pandemic recoveries provide indisputable evidences for the urgent needs of digital twins for mapping supply networks and ensuring visibility. The results of this study contribute to the research and practice of SC risk management by enhancing predictive and reactive decisions to utilize the advantages of SC visualization, historical disruption data analysis, and real-time disruption data and ensure end-to-end visibility and business continuity in global companies.;"Digital supply chain twin; Supply chain resilience; Disruption risk management; Industry 4.0; Simulation; Digital technologies";Mature;Mature;4;1
23;2016;A maturity model for assessing Industry 4.0 readiness and maturity of manufacturing enterprises;Manufacturing enterprises are currently facing substantial challenges with regard to disruptive concepts such as the Internet of Things, Cyber Physical Systems or Cloud-based Manufacturing – also referred to as Industry 4.0. Subsequently, increasing complexity on all firm levels creates uncertainty about respective organizational and technological capabilities and adequate strategies to develop them. In this paper we propose an empirically grounded novel model and its implementation to assess the Industry 4.0 maturity of industrial enterprises in the domain of discrete manufacturing. Our main goal was to extend the dominating technology focus of recently developed models by including organizational aspects. Overall we defined 9 dimensions and assigned 62 items to them for assessing Industry 4.0 maturity. The dimensions “Products”, “Customers”, “Operations” and “Technology” have been created to assess the basic enablers. Additionally, the dimensions “Strategy”, “Leadership”, Governance, “Culture” and “People” allow for including organizational aspects into the assessment. Afterwards, the model has been transformed into a practical tool and tested in several companies whereby one case is presented in the paper. First validations of the model's structure and content show that the model is transparent and easy to use and proved its applicability in real production environments.;"Industry 4.0; Maturity model; Readiness assessment; Manufacturing enterprises; Digital transformation; Smart manufacturing";Emerging;Emerging;2;1
24;2017;Smart Factory of Industry 4.0: Key Technologies, Application Case, and Challenges;Due to the current structure of digital factory, it is necessary to build the smart factory to upgrade the manufacturing industry. Smart factory adopts the combination of physical technology and cyber technology and deeply integrates previously independent discrete systems making the involved technologies more complex and precise than they are now. In this paper, a hierarchical architecture of the smart factory was proposed first, and then the key technologies were analyzed from the aspects of the physical resource layer, the network layer, and the data application layer. In addition, we discussed the major issues and potential solutions to key emerging technologies, such as Internet of Things (IoT), big data, and cloud computing, which are embedded in the manufacturing process. Finally, a candy packing line was used to verify the key technologies of smart factory, which showed that the overall equipment effectiveness of the equipment is significantly improved.;"Industry 4.0; Smart factory; Cyber-physical system; Internet of Things; Cloud manufacturing; Big data; Intelligent manufacturing";Mature;Mature;4;1
25;2019;A Survey on Digital Twin: Definitions, Characteristics, Applications, and Design Implications;When, in 1956, Artificial Intelligence (AI) was officially declared a research field, no one would have ever predicted the huge influence and impact its description, prediction, and prescription capabilities were going to have on our daily lives. In parallel to continuous advances in AI, the past decade has seen the spread of broadband and ubiquitous connectivity, (embedded) sensors collecting descriptive high dimensional data, and improvements in big data processing techniques and cloud computing. The joint usage of such technologies has led to the creation of digital twins, artificial intelligent virtual replicas of physical systems. Digital Twin (DT) technology is nowadays being developed and commercialized to optimize several manufacturing and aviation processes, while in the healthcare and medicine fields this technology is still at its early development stage. This paper presents the results of a study focused on the analysis of the state-of-the-art definitions of DT, the investigation of the main characteristics that a DT should possess, and the exploration of the domains in which DT applications are currently being developed. The design implications derived from the study are then presented: they focus on socio-technical design aspects and DT lifecycle. Open issues and challenges that require to be addressed in the future are finally discussed.;"Artificial intelligence; digital twin; human-computer interaction; Internet of Things; machine learning; sensor systems";Buzz;Emerging;3;0
26;2019;Digital Twins and Cyber-Physical Systems toward Smart Manufacturing and Industry 4.0: Correlation and Comparison;State-of-the-art technologies such as the Internet of Things (IoT), cloud computing (CC), big data analytics (BDA), and artificial intelligence (AI) have greatly stimulated the development of smart manufacturing. An important prerequisite for smart manufacturing is cyber–physical integration, which is increasingly being embraced by manufacturers. As the preferred means of such integration, cyber–physical systems (CPS) and digital twins (DTs) have gained extensive attention from researchers and practitioners in industry. With feedback loops in which physical processes affect cyber parts and vice versa, CPS and DTs can endow manufacturing systems with greater efficiency, resilience, and intelligence. CPS and DTs share the same essential concepts of an intensive cyber–physical connection, real-time interaction, organization integration, and in-depth collaboration. However, CPS and DTs are not identical from many perspectives, including their origin, development, engineering practices, cyber–physical mapping, and core elements. In order to highlight the differences and correlation between them, this paper reviews and analyzes CPS and DTs from multiple perspectives.;"Cyber-physical system; Digital twin; Smart manufacturing; Industry 4.0; Comparison; Correlation";Mature;Emerging;4;0
27;2018;The future of manufacturing industry: a strategic roadmap toward Industry 4.0;"Purpose– The purpose of this paper is to conduct a state-of-the-art review of the ongoing research on the
Industry 4.0 phenomenon, highlight its key design principles and technology trends, identify its architectural
design and offer a strategic roadmap that can serve manufacturers as a simple guide for the process of
Industry 4.0 transition.
Design/methodology/approach– The study performs a systematic and content-centric review of
literature based on a six-stage approach to identify key design principles and technology trends of Industry
4.0. The study further benefits from a comprehensive content analysis of the 178 documents identified, both
manually and via IBM Watson’s natural language processing for advanced text analysis.
Findings– Industry 4.0 is an integrative system of value creation that is comprised of 12 design principles
and 14 technology trends. Industry 4.0 is no longer a hype and manufacturers need to get on board sooner
rather than later.
Research limitations/implications– The strategic roadmap presented in this study can serve
academicians and practitioners as a stepping stone for development of a detailed strategic roadmap for
successful transition from traditional manufacturing into the Industry 4.0. However, there is no one-size-fits
all strategy that suits all businesses or industries, meaning that the Industry 4.0 roadmap for each company is
idiosyncratic, and should be devised based on company’s core competencies, motivations, capabilities, intent,
goals, priorities and budgets.
Practical implications– The first step for transitioning into the Industry 4.0 is the development of a
comprehensive strategic roadmap that carefully identifies and plans every single step a manufacturing
company needs to take, as well as the timeline, and the costs and benefits associated with each step. The
strategic roadmap presented in this study can offer as a holistic view of common steps that manufacturers
need to undertake in their transition toward the Industry 4.0.
Originality/value– The study is among the first to identify, cluster and describe design principles and
technology trends that are building blocks of the Industry 4.0. The strategic roadmap for Industry 4.0
transition presented in this study is expected to assist contemporary manufacturers to understand what
implementing the Industry 4.0 really requires of them and what challenges they might face during the
transition process.";"Information technology; Cybernetics; Strategic planning; Industry 4.0; Industrial robots";Emerging;Emerging;2;1
